start
vertice: 5599: pai:2 nivel:1
vertice: 5596: pai:2 nivel:1
vertice: 1168: pai:2 nivel:1
vertice: 5542: pai:2 nivel:1
vertice: 13657: pai:2 nivel:1
vertice: 1166: pai:2 nivel:1
vertice: 13633: pai:2 nivel:1
vertice: 5605: pai:2 nivel:1
vertice: 2233: pai:2 nivel:1
vertice: 1373: pai:2 nivel:1
vertice: 13815: pai:2 nivel:1
vertice: 1705: pai:2 nivel:1
vertice: 1703: pai:2 nivel:1
vertice: 1704: pai:2 nivel:1
vertice: 13821: pai:2 nivel:1
vertice: 5617: pai:2 nivel:1
vertice: 13840: pai:2 nivel:1
vertice: 13819: pai:2 nivel:1
vertice: 5627: pai:2 nivel:1
vertice: 13844: pai:2 nivel:1
vertice: 13842: pai:2 nivel:1
vertice: 13857: pai:2 nivel:1
vertice: 5631: pai:2 nivel:1
vertice: 13856: pai:2 nivel:1
vertice: 13869: pai:2 nivel:1
vertice: 5638: pai:2 nivel:1
vertice: 3227: pai:2 nivel:1
vertice: 5643: pai:2 nivel:1
vertice: 1706: pai:2 nivel:1
vertice: 13912: pai:2 nivel:1
vertice: 5646: pai:2 nivel:1
vertice: 5658: pai:2 nivel:1
vertice: 13920: pai:2 nivel:1
vertice: 5652: pai:2 nivel:1
vertice: 13880: pai:2 nivel:1
vertice: 813: pai:2 nivel:1
vertice: 13932: pai:2 nivel:1
vertice: 5672: pai:2 nivel:1
vertice: 2235: pai:2 nivel:1
vertice: 2238: pai:2 nivel:1
vertice: 13922: pai:2 nivel:1
vertice: 13971: pai:2 nivel:1
vertice: 1379: pai:2 nivel:1
vertice: 5680: pai:2 nivel:1
vertice: 3239: pai:2 nivel:1
vertice: 5687: pai:2 nivel:1
vertice: 269: pai:2 nivel:1
vertice: 14004: pai:2 nivel:1
vertice: 3238: pai:2 nivel:1
vertice: 5689: pai:2 nivel:1
vertice: 3245: pai:2 nivel:1
vertice: 14019: pai:2 nivel:1
vertice: 14007: pai:2 nivel:1
vertice: 136: pai:2 nivel:1
vertice: 5673: pai:2 nivel:1
vertice: 5695: pai:2 nivel:1
vertice: 2239: pai:2 nivel:1
vertice: 5706: pai:2 nivel:1
vertice: 1716: pai:2 nivel:1
vertice: 5708: pai:2 nivel:1
vertice: 14045: pai:2 nivel:1
vertice: 5704: pai:2 nivel:1
vertice: 1380: pai:2 nivel:1
vertice: 2241: pai:2 nivel:1
vertice: 5720: pai:2 nivel:1
vertice: 14035: pai:2 nivel:1
vertice: 5693: pai:2 nivel:1
vertice: 13921: pai:2 nivel:1
vertice: 13866: pai:2 nivel:1
vertice: 5721: pai:2 nivel:1
vertice: 5730: pai:2 nivel:1
vertice: 5723: pai:2 nivel:1
vertice: 5733: pai:2 nivel:1
vertice: 2243: pai:2 nivel:1
vertice: 1383: pai:2 nivel:1
vertice: 5737: pai:2 nivel:1
vertice: 14095: pai:2 nivel:1
vertice: 5724: pai:2 nivel:1
vertice: 5742: pai:2 nivel:1
vertice: 14146: pai:2 nivel:1
vertice: 5743: pai:2 nivel:1
vertice: 14156: pai:2 nivel:1
vertice: 3263: pai:2 nivel:1
vertice: 5750: pai:2 nivel:1
vertice: 5752: pai:2 nivel:1
vertice: 5751: pai:2 nivel:1
vertice: 5756: pai:2 nivel:1
vertice: 5755: pai:2 nivel:1
vertice: 5754: pai:2 nivel:1
vertice: 5753: pai:2 nivel:1
vertice: 5740: pai:2 nivel:1
vertice: 14166: pai:2 nivel:1
vertice: 14181: pai:2 nivel:1
vertice: 1014: pai:2 nivel:1
vertice: 14188: pai:2 nivel:1
vertice: 14176: pai:2 nivel:1
vertice: 14196: pai:2 nivel:1
vertice: 1389: pai:2 nivel:1
vertice: 5779: pai:2 nivel:1
vertice: 5781: pai:2 nivel:1
vertice: 14204: pai:2 nivel:1
vertice: 14226: pai:2 nivel:1
vertice: 5786: pai:2 nivel:1
vertice: 5783: pai:2 nivel:1
vertice: 5797: pai:2 nivel:1
vertice: 5802: pai:2 nivel:1
vertice: 5785: pai:2 nivel:1
vertice: 5791: pai:2 nivel:1
vertice: 14216: pai:2 nivel:1
vertice: 5769: pai:2 nivel:1
vertice: 14161: pai:2 nivel:1
vertice: 3250: pai:2 nivel:1
vertice: 1390: pai:2 nivel:1
vertice: 14247: pai:2 nivel:1
vertice: 3274: pai:2 nivel:1
vertice: 5808: pai:2 nivel:1
vertice: 5815: pai:2 nivel:1
vertice: 904: pai:2 nivel:1
vertice: 2254: pai:2 nivel:1
vertice: 5818: pai:2 nivel:1
vertice: 3279: pai:2 nivel:1
vertice: 3278: pai:2 nivel:1
vertice: 2053: pai:2 nivel:1
vertice: 5973: pai:2 nivel:1
vertice: 5974: pai:2 nivel:1
vertice: 11818: pai:2 nivel:1
vertice: 5976: pai:2 nivel:1
vertice: 5975: pai:2 nivel:1
vertice: 2868: pai:2 nivel:1
vertice: 3276: pai:2 nivel:1
vertice: 5980: pai:2 nivel:1
vertice: 5983: pai:2 nivel:1
vertice: 3334: pai:2 nivel:1
vertice: 5990: pai:2 nivel:1
vertice: 5985: pai:2 nivel:1
vertice: 3337: pai:2 nivel:1
